InsCode,Asset_Name,Industry
32678431934327184,كلوند,كاشي و سراميك
34557241988629814,بركت,مواد و محصولات دارويي
17800036702302776,ثاخت,انبوه سازي، املاك و مستغلات
30719054967088301,تكمبا,ماشين آلات و تجهيزات
23353689102956991,دكوثر,مواد و محصولات دارويي
70289374539527245,ختوقا,خودرو و ساخت قطعات
68635710163497089,همراه,مخابرات
20946530370469828,وليز,ساير واسطه گريهاي مالي
6131290133202745,غمهرا,محصولات غذايي و آشاميدني به جز قند و شكر
32357363984168442,جم,محصولات شيميايي
20562694899904339,شپديس,محصولات شيميايي
32525655729432562,سبهان,سيمان، آهك و گچ
11258722998911897,وسكاب,سرمايه گذاريها
46752599569017089,بترانس,ماشين آلات و دستگاه‌هاي برقي
27729386420118206,وخارزمح,سرمايه گذاريها
39453972158399542,سپاس,صندوق سرمايه گذاري قابل معامله
56550776668133562,دفارا,مواد و محصولات دارويي
32821908911812078,خزر,خودرو و ساخت قطعات
56820995669577571,قلرست,قند و شكر
57639364758870873,كپشير,ساير محصولات كاني غيرفلزي
28450080638096732,سيمرغ,زراعت و خدمات وابسته
57309221039930244,وصنعت,سرمايه گذاريها
30829203706095076,ستران,سيمان، آهك و گچ
2589887561569709,خزاميا,خودرو و ساخت قطعات
10145129193828624,نگين,صندوق سرمايه گذاري قابل معامله
53254637903825194,كيان2,صندوق سرمايه گذاري قابل معامله
70595828753641750,پارند,صندوق سرمايه گذاري قابل معامله
59612098290740355,ثاباد,انبوه سازي، املاك و مستغلات
9536587154100457,وپاسار,بانكها و موسسات اعتباري
44850033148208596,غچين,محصولات غذايي و آشاميدني به جز قند و شكر
66450490505950110,ددام,مواد و محصولات دارويي
18303237082155264,دفرا,مواد و محصولات دارويي
14398278072324784,قهكمت,قند و شكر
28033133021443774,خفنر,خودرو و ساخت قطعات
59217041815333317,خكار,خودرو و ساخت قطعات
27922860956133067,مبين,عرضه برق، گاز، بخاروآب گرم
64217006537761390,وسكرمان,سرمايه گذاريها
27368073055197638,پارس2,محصولات شيميايي
48910360810784246,شغدير2,محصولات شيميايي
38437201078089290,كرماشا,محصولات شيميايي
15521712617204216,سفارس,سيمان، آهك و گچ
67327029014085707,سخزر,سيمان، آهك و گچ
35796086458096255,شيران,محصولات شيميايي
3722699128879020,حتايد,حمل ونقل، انبارداري و ارتباطات
1358190916156744,وآذر,انبوه سازي، املاك و مستغلات
7457232989848872,خمحور,خودرو و ساخت قطعات
43443105991896600,ارزش,صندوق سرمايه گذاري قابل معامله
62235397452612911,دارا يكم,صندوق سرمايه گذاري قابل معامله
50983346180251408,خاتم2,صندوق سرمايه گذاري قابل معامله
1438514795814416,ياقوت,صندوق سرمايه گذاري قابل معامله
45211257392047345,صگل039,استخراج کانه هاي فلزي
42075223783409640,خاذين,خودرو و ساخت قطعات
48010225447410247,وبانك,شرکتهاي چند رشته اي صنعتي
63917421733088077,وتجارت,بانكها و موسسات اعتباري
48990026850202503,خگستر,خودرو و ساخت قطعات
23838634016123354,مرقام,رايانه و فعاليت‌هاي وابسته به آن
44549439964296944,كالا,فعاليتهاي كمكي به نهادهاي مالي واسط
22382156782768756,بكام,ماشين آلات و دستگاه‌هاي برقي
20865316761157979,فاراك,ساخت محصولات فلزي
35425587644337450,فملي,فلزات اساسي
45895339414786358,خرينگ,خودرو و ساخت قطعات
35669480110084448,سپاها,سيمان، آهك و گچ
47377315952751604,بسويچ,ماشين آلات و دستگاه‌هاي برقي
18568733593280948,ثاميد,انبوه سازي، املاك و مستغلات
33420285433308219,زپارس,زراعت و خدمات وابسته
53676607310207533,كگلح2,استخراج کانه هاي فلزي
36293785932444419,واميدح,شرکتهاي چند رشته اي صنعتي
17226661368470120,سپر,صندوق سرمايه گذاري قابل معامله
50100062518826135,دامين,مواد و محصولات دارويي
3623921205367364,كدما,استخراج کانه هاي فلزي
40611478183231802,شدوص,محصولات شيميايي
16405556680571453,كخاك,ساير محصولات كاني غيرفلزي
53113471126689455,چكارن,محصولات كاغذي
52975109254504632,غمارگ,محصولات غذايي و آشاميدني به جز قند و شكر
19471788163911687,كفپارس,ساير محصولات كاني غيرفلزي
46820237871803554,وسهرمز,سرمايه گذاريها
6043384171800349,ثشرق,انبوه سازي، املاك و مستغلات
7745894403636165,شپنا,فراورده هاي نفتي، كك و سوخت هسته اي
48753732042176709,شبريز,فراورده هاي نفتي، كك و سوخت هسته اي
66295665969375744,سبجنو,سيمان، آهك و گچ
6757220448540984,سشمال,سيمان، آهك و گچ
3654864906585643,تكنو,ماشين آلات و تجهيزات
24085906177899789,كترام,كاشي و سراميك
13937270451301973,وبشهر,محصولات غذايي و آشاميدني به جز قند و شكر
62810990108260391,كگلح,استخراج کانه هاي فلزي
22218966388689725,امينح,فعاليتهاي كمكي به نهادهاي مالي واسط
37222720235819361,بذر,صندوق سرمايه گذاري قابل معامله
65249046611427924,فردا,صندوق سرمايه گذاري قابل معامله
778253364357513,وبملت,بانكها و موسسات اعتباري
35700344742885862,كگل,استخراج کانه هاي فلزي
69143674941561637,پترول,محصولات شيميايي
32257753560585502,كحافظ,كاشي و سراميك
43552974795606067,خراسان,محصولات شيميايي
675737110292645,فملي2,فلزات اساسي
655060129740445,اپال,استخراج کانه هاي فلزي
11622051128546106,شپاكسا,محصولات شيميايي
10589770805157298,جم2,محصولات شيميايي
40262275031537922,دروز,مواد و محصولات دارويي
36899214178084525,شفا,مواد و محصولات دارويي
44891482026867833,خساپا,خودرو و ساخت قطعات
7715968593254705,شرق1400,اوراق تامين مالي
61731388465798074,كيش1402,اوراق تامين مالي
37148101999680137,حريل02,اوراق تامين مالي
57395291357606965,كرونا2,اوراق تامين مالي
3453027360500664,شستا003,اوراق تامين مالي
55963441389800122,اخزا713,اوراق تامين مالي
18067743398074470,اخزا716,اوراق تامين مالي
42576718434222894,اخزا720,اوراق تامين مالي
46773487536596471,اخزا721,اوراق تامين مالي
5126621656875241,اخزا722,اوراق تامين مالي
42031056662310763,اخزا723,اوراق تامين مالي
27857905114371789,اخزا804,اوراق تامين مالي
35541297751844500,اخزا805,اوراق تامين مالي
57139694841580593,اخزا806,اوراق تامين مالي
5203880991539408,اخزا807,اوراق تامين مالي
45747858932368314,اخزا808,اوراق تامين مالي
20909901812271390,اخزا809,اوراق تامين مالي
65658464061006386,اخزا810,اوراق تامين مالي
67744724115735698,اخزا811,اوراق تامين مالي
5547896159175454,اخزا812,اوراق تامين مالي
65676208671737936,اخزا813,اوراق تامين مالي
61170189647376533,اخزا814,اوراق تامين مالي
25435625417909263,اخزا815,اوراق تامين مالي
45353549301778828,اخزا816,اوراق تامين مالي
61024703979802025,اخزا817,اوراق تامين مالي
68250192165442911,اخزا818,اوراق تامين مالي
5181039426047414,اخزا819,اوراق تامين مالي
12004613727363965,اخزا820,اوراق تامين مالي
3019817952865782,اخزا821,اوراق تامين مالي
34072858270659593,اخزا901,اوراق تامين مالي
44973596387994711,اخزا902,اوراق تامين مالي
68458335399886534,اخزا903,اوراق تامين مالي
19106496156354497,اخزا904,اوراق تامين مالي
17185906359043494,اخزا905,اوراق تامين مالي
17166179154270422,اخزا906,اوراق تامين مالي
48771123304040433,اخزا907,اوراق تامين مالي
17489918101053443,اخزا908,اوراق تامين مالي
14925348052932291,اخزا909,اوراق تامين مالي
40004156358768554,اخزا910,اوراق تامين مالي
65985619452718369,اخزا911,اوراق تامين مالي
31529165012057847,اخزا914,اوراق تامين مالي
43048496991450781,افاد54,اوراق تامين مالي
60978516449331479,افاد82,اوراق تامين مالي
24371538373380305,اراد33,اوراق تامين مالي
42546700252452484,اراد36,اوراق تامين مالي
17911286507762193,اراد364,اوراق تامين مالي
60344745752588969,اراد424,اوراق تامين مالي
47883592226425713,اراد43,اوراق تامين مالي
57945047632313684,اراد434,اوراق تامين مالي
40348118513018291,اراد50,اوراق تامين مالي
50764174542224726,اراد504,اوراق تامين مالي
27319652872658388,اراد55,اوراق تامين مالي
42911811024354777,اراد61,اوراق تامين مالي
71417521805138182,اراد65,اوراق تامين مالي
66687959964607107,اراد74,اوراق تامين مالي
52689252717790612,اراد744,اوراق تامين مالي
13891373690607361,سلامت6,اوراق تامين مالي
64699417405634265,نطرين,منسوجات
63830424809501048,اپرداز,اطلاعات و ارتباطات
55127657985997520,آريا,محصولات شيميايي
59266699437480384,ارفع,فلزات اساسي
44625249840480397,حآسا,حمل ونقل، انبارداري و ارتباطات
24644999329120295,وملل,بانكها و موسسات اعتباري
17617474823279712,آ س پ,انبوه سازي، املاك و مستغلات
5305844922895340,داوه,مواد و محصولات دارويي
54482686501491508,زبينا,زراعت و خدمات وابسته
66142616039907394,دماوند,عرضه برق، گاز، بخاروآب گرم
68909035712962732,ثباغ,انبوه سازي، املاك و مستغلات
48287670503317419,ولبهمن,ساير واسطه گريهاي مالي
12746730665870442,بهپاك,محصولات غذايي و آشاميدني به جز قند و شكر
51971068201094874,بپاس,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
22275596386264204,كوثر,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
71510396252618330,دبالك,مواد و محصولات دارويي
8646067353086740,بالاس,پيمانكاري صنعتي
39807886630843041,بمپنا,عرضه برق، گاز، بخاروآب گرم
43966385447049549,ودي,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
59866041653103343,نوين,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
41625340598198551,بساما,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
68517032834363488,شبصير,محصولات شيميايي
41122066907413786,چخزر,محصولات چوبي
17939384202383793,ثغرب,انبوه سازي، املاك و مستغلات
1822787329898392,كلر,محصولات شيميايي
64341992373049080,سدبير,سرمايه گذاريها
10114441830266109,گدنا,هتل و رستوران
25180702353416009,زدشت,زراعت و خدمات وابسته
66726992874614788,دتوزيع,مواد و محصولات دارويي
38084304113529336,خديزل,خودرو و ساخت قطعات
39751275523025334,اتكاي,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
36773155987365094,اعتلا,سرمايه گذاريها
5427792638736934,زفكا,زراعت و خدمات وابسته
70498485598181604,هرمز,فلزات اساسي
58741071099161284,فرابورس,فعاليتهاي كمكي به نهادهاي مالي واسط
71290297158948749,زقيام,زراعت و خدمات وابسته
34540569618314880,قاسم,خرده فروشي،باستثناي وسايل نقليه موتوري
71068313834275501,بگيلان,عرضه برق، گاز، بخاروآب گرم
33854964748757477,رنيك,خدمات فني و مهندسي
16410724132711490,غفارس,محصولات غذايي و آشاميدني به جز قند و شكر
45518744711972166,غپآذر,محصولات غذايي و آشاميدني به جز قند و شكر
65018804181564924,گوهران,سرمايه گذاريها
30703140537034664,كگهر,استخراج کانه هاي فلزي
55344005108664033,ضملي7004,فلزات اساسي
66155644912694585,ضجار7037,بانكها و موسسات اعتباري
10928048683681643,ضشنا8003,فراورده هاي نفتي، كك و سوخت هسته اي
58195095004306952,ضفلا3001,فلزات اساسي
35911775835774023,ضسپا3000,خودرو و ساخت قطعات
